DFA International Core Equity Portfolio Institutional Class (DFIEX),DFIEX,MF,Foreign Large Blend,2.0,3.0,3.0,3.0,35.76,7.27,7.56,6.54,13.91,-15.11,18.74,23.43,-5.98,-0.21,5.34,28.05,-17.4,21.68,7.72,12.96,0.25,0.24,20.35,16.52,16.01,0.4,0.63,0.42,0.89,0.94,98.14,NA,NA,0.02
Invesco International Core Equity Fund Class Y (IBVYX),IBVYX,MF,Foreign Large Blend,3.0,3.0,2.0,3.0,30.78,9.13,6.72,5.31,5.91,-14.12,14.17,11.36,-0.8,-2.69,3.24,24.75,-21.42,25.29,17.15,7.6,0.87,1.43,20.73,16.93,15.92,0.53,0.62,0.36,0.2,1.51,98.29,NA,NA,NA
Invesco International Equity Fund Class R6 (QIVIX),QIVIX,MF,Foreign Large Blend,4.0,3.0,4.0,3.0,20.72,8.49,7.64,NA,NA,NA,NA,NA,-9.86,-0.55,2.38,31.62,-17.21,22.17,18.66,2.86,0.79,0.79,17.0,14.44,14.65,0.54,0.7,0.44,3.76,5.45,90.78,NA,NA,NA
GuideStone Funds International Equity Index Fund Institutional Class (GIIYX),GIIYX,MF,Foreign Large Blend,3.0,3.0,N/A,3.0,26.67,7.99,6.67,NA,NA,NA,NA,NA,NA,NA,1.63,24.69,-12.86,21.21,8.17,10.32,0.23,0.23,17.66,14.51,NA,0.47,0.67,NA,3.88,1.13,94.89,NA,NA,0.1
T. Rowe Price Overseas Stock Fund I Class (TROIX),TROIX,MF,Foreign Large Blend,3.0,4.0,4.0,4.0,28.58,7.51,NA,NA,NA,NA,NA,NA,NA,NA,3.01,27.22,-14.83,23.05,9.32,9.31,0.66,0.66,19.18,15.64,15.17,0.46,0.68,0.45,1.79,1.82,96.39,NA,NA,NA
American Funds International Growth and Income Fund Class F-3 (IGAIX),IGAIX,MF,Foreign Large Blend,4.0,3.0,4.0,4.0,28.87,9.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.11,27.54,8.19,9.19,0.55,0.55,19.22,15.68,14.49,0.55,0.68,0.46,5.32,4.43,89.6,0.42,NA,0.23
Artisan International Value Fund Institutional Class (APHKX),APHKX,MF,Foreign Large Blend,4.0,4.0,5.0,5.0,41.32,10.67,8.5,9.6,19.15,-6.98,23.05,30.72,-0.39,-1.49,5.74,24.06,-15.42,24.2,8.81,15.35,1.03,1.03,20.74,16.8,15.03,0.58,0.68,0.62,12.0,5.98,74.74,NA,NA,7.28
DFA International Sustainability Core 1 Portfolio (DFSPX),DFSPX,MF,Foreign Large Blend,4.0,4.0,4.0,4.0,33.54,9.5,8.21,6.92,11.54,-14.04,18.1,22.64,-6.0,-0.27,2.82,27.26,-15.53,24.21,11.63,11.8,0.26,0.26,19.21,15.65,15.39,0.52,0.72,0.45,0.69,0.92,98.39,NA,NA,NA
MainStay Epoch International Choice Fund Class I (ICEUX),ICEUX,MF,Foreign Large Blend,3.0,3.0,2.0,3.0,19.44,7.11,5.09,5.19,5.65,-9.1,16.78,20.72,-5.74,-4.59,-2.12,25.59,-13.6,23.64,7.86,6.89,0.95,0.95,17.57,14.81,14.98,0.45,0.63,0.36,1.24,NA,98.76,NA,NA,NA
Thornburg International Equity Fund Class I (TGVIX),TGVIX,MF,Foreign Large Blend,5.0,4.0,4.0,4.0,26.32,12.01,7.4,6.48,14.15,-12.94,15.85,15.77,-5.55,6.68,-2.39,25.47,-19.82,29.09,22.76,5.97,0.93,0.93,18.1,15.26,15.06,0.75,0.79,0.46,7.16,12.59,80.25,NA,NA,NA
Delaware Ivy Managed International Opportunities Fund Class N (IVTNX),IVTNX,MF,Foreign Large Blend,3.0,3.0,3.0,3.0,30.17,8.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15.72,20.92,14.69,8.86,1.03,1.06,19.23,15.73,15.22,0.54,0.7,0.43,3.3,12.19,84.36,NA,NA,0.14
Hartford International Equity Fund Class F (HDVFX),HDVFX,MF,Foreign Large Blend,3.0,3.0,3.0,3.0,25.65,7.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.35,20.99,9.76,8.47,0.54,0.54,17.74,14.75,14.76,0.49,0.68,0.44,3.32,1.47,94.34,NA,NA,0.88
The Hartford International Opportunities Fund Class F (IHOFX),IHOFX,MF,Foreign Large Blend,4.0,4.0,4.0,4.0,25.36,9.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.63,26.22,20.74,5.49,0.7,0.7,18.5,15.36,14.74,0.58,0.7,0.49,2.47,2.9,93.81,NA,NA,0.81
Lord Abbett International Equity Fund Class F3 (LICOX),LICOX,MF,Foreign Large Blend,5.0,4.0,3.0,5.0,31.05,10.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.93,21.8,17.29,10.19,0.84,0.88,17.2,14.51,14.46,0.61,0.71,0.37,NA,2.65,97.35,NA,NA,NA
Hartford Schroders International Stock Fund Class F (HSWFX),HSWFX,MF,Foreign Large Blend,5.0,5.0,5.0,5.0,29.07,14.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.29,25.31,25.0,8.8,0.75,0.75,18.18,15.24,15.5,0.8,0.91,0.51,2.17,1.6,96.23,NA,NA,NA
JPMorgan International Equity Fund Class R6 (JNEMX),JNEMX,MF,Foreign Large Blend,4.0,4.0,4.0,4.0,27.52,10.19,7.73,6.68,NA,-10.77,21.64,15.57,-6.23,-2.27,1.88,30.05,-17.69,27.46,13.42,8.98,0.5,0.61,18.05,15.24,15.37,0.56,0.74,0.44,1.53,1.24,97.22,NA,NA,NA
JPMorgan International Focus Fund Class R6 (IUENX),IUENX,MF,Foreign Large Blend,5.0,5.0,N/A,5.0,23.69,11.69,8.54,NA,NA,NA,26.2,16.59,-4.97,2.43,0.79,28.65,-16.3,29.89,15.36,7.45,0.55,0.71,16.99,14.73,NA,0.69,0.78,NA,2.67,2.24,95.09,NA,NA,NA
MFS Blended Research International Equity Fund Class R6 (BRXVX),BRXVX,MF,Foreign Large Blend,3.0,4.0,N/A,4.0,30.71,8.0,NA,NA,NA,NA,NA,NA,NA,NA,1.7,27.06,-15.39,22.1,9.26,10.97,0.6,0.65,17.26,14.36,NA,0.54,0.74,NA,2.02,NA,97.98,NA,NA,NA
Goldman Sachs International Equity Insights Fund Class R6 (GCIUX),GCIUX,MF,Foreign Large Blend,2.0,3.0,4.0,3.0,29.93,6.32,NA,NA,NA,NA,NA,NA,NA,NA,3.81,29.7,-15.71,18.45,7.85,11.94,0.78,0.84,18.57,15.27,15.2,0.37,0.64,0.43,0.54,0.03,99.11,NA,NA,0.32
Goldman Sachs International Equity ESG Fund Class R6 (GSIWX),GSIWX,MF,Foreign Large Blend,5.0,5.0,4.0,5.0,38.17,14.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.87,-14.49,28.19,23.26,10.86,0.85,1.3,20.15,16.51,16.1,0.72,0.8,0.47,1.7,6.45,91.85,NA,NA,NA
First Eagle Overseas Fund Class R6 (FEORX),FEORX,MF,Foreign Large Blend,4.0,2.0,4.0,4.0,17.06,7.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.92,17.94,7.36,5.74,0.8,0.8,12.72,10.58,10.32,0.53,0.55,0.51,13.94,2.73,71.37,0.06,1.66,10.23
"BlackRock International Fund of BlackRock Series, Inc.Class K Shares (MKILX)",MKILX,MF,Foreign Large Blend,5.0,5.0,4.0,5.0,37.72,13.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.82,21.88,12.62,0.6,0.71,20.77,17.28,16.38,0.73,0.84,0.47,5.42,13.09,82.95,NA,NA,-1.45
BlackRock International Dividend Fund Class K (BREKX),BREKX,MF,Foreign Large Blend,5.0,3.0,2.0,5.0,18.98,9.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.78,9.16,9.46,0.79,1.08,15.16,12.84,14.2,0.71,0.66,0.34,-0.14,13.82,84.48,NA,NA,1.84
BlackRock Advantage International Fund K (BROKX),BROKX,MF,Foreign Large Blend,3.0,3.0,4.0,3.0,29.32,7.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.75,7.41,10.62,0.45,0.65,18.32,14.85,14.67,0.44,0.63,0.48,3.2,0.69,96.05,NA,NA,0.06
Goldman Sachs International Tax-Managed Equity Fund Class R6 (GHTRX),GHTRX,MF,Foreign Large Blend,2.0,3.0,4.0,2.0,27.5,6.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.05,10.23,10.52,0.89,0.98,17.56,14.57,14.74,0.38,0.63,0.45,0.64,1.57,97.79,NA,NA,NA
MFS Research International Fund Class R6 (MRSKX),MRSKX,MF,Foreign Large Blend,5.0,5.0,4.0,5.0,25.33,10.33,7.93,6.55,11.13,-10.71,16.99,19.05,-6.62,-1.72,-0.75,28.45,-13.87,28.12,13.29,9.05,0.71,0.71,16.38,13.61,14.27,0.64,0.83,0.46,1.21,5.21,93.58,NA,NA,NA
MFS International Diversification Fund Class R6 (MDIZX),MDIZX,MF,Foreign Large Blend,5.0,5.0,5.0,5.0,22.42,10.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.92,26.09,15.43,7.32,0.75,0.77,15.92,13.29,13.46,0.7,0.89,0.58,2.32,3.76,93.92,NA,NA,NA
Federated Hermes International Leaders Fund Class R6 Shares (FGRSX),FGRSX,MF,Foreign Large Blend,3.0,4.0,3.0,4.0,24.81,9.53,5.9,NA,NA,NA,NA,NA,-4.14,-1.87,-2.64,28.35,-20.58,27.09,15.81,8.29,0.92,1.03,19.72,16.38,17.58,0.47,0.7,0.42,1.27,3.46,95.27,NA,NA,NA
SPDR Portfolio Developed World ex-US ETF (SPDW),SPDW,ETF ,Foreign Large Blend,4.0,4.0,4.0,4.0,36.36,9.35,10.95,6.0,10.37,-12.2,16.92,19.52,-4.05,-1.8,2.89,25.56,-14.23,22.26,10.26,10.23,NA,NA,18.22,14.95,14.97,0.51,0.7,0.43,0.1,1.31,98.55,NA,NA,0.04
Schwab International Equity ETF (SCHF),SCHF,ETF ,Foreign Large Blend,4.0,4.0,3.0,4.0,35.68,9.31,10.83,5.88,8.6,-12.32,17.12,20.03,-4.44,-2.44,2.88,25.83,-14.39,22.15,9.86,10.19,NA,NA,18.13,14.91,15.08,0.5,0.69,0.42,0.14,0.91,98.95,NA,NA,NA
Xtrackers MSCI EAFE Hedged Equity ETF (DBEF),DBEF,ETF ,Foreign Large Blend,4.0,4.0,5.0,5.0,28.0,9.53,11.46,8.83,NA,NA,18.15,25.9,5.26,4.5,5.75,16.6,-9.27,24.39,2.34,14.05,NA,NA,15.74,12.88,12.77,0.56,0.83,0.67,2.26,1.04,96.62,-0.1,0.08,0.1
NA,HEFA,ETF ,Foreign Large Blend,4.0,5.0,N/A,5.0,28.35,9.62,11.55,NA,NA,NA,NA,NA,NA,4.44,6.57,16.69,-9.24,24.73,2.11,14.35,NA,NA,15.86,12.81,NA,0.58,0.83,NA,0.51,1.06,98.33,NA,NA,0.1
Xtrackers MSCI All World ex U.S. Hedged Equity ETF (DBAW),DBAW,ETF ,Foreign Large Blend,4.0,4.0,N/A,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,NA,NA,14.8,12.07,NA,0.63,0.88,NA,2.87,0.77,96.1,0.16,0.03,0.07
(ACWX),ACWX,ETF ,Foreign Large Blend,3.0,3.0,2.0,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.18,NA,NA,NA,NA,NA,NA,NA,NA,0.41,0.81,98.7,NA,NA,0.08
Vanguard FTSE All-World ex-US Index Fund ETF Shares (VEU),VEU,ETF ,Foreign Large Blend,3.0,4.0,3.0,3.0,36.55,9.88,11.18,5.65,11.85,-14.25,18.55,14.5,-4.05,-4.67,4.77,27.27,-13.97,21.63,11.39,8.69,NA,NA,17.73,14.65,15.08,0.55,0.72,0.4,0.35,0.66,98.91,NA,NA,0.08
Vanguard Total International Stock Index Fund ETF Shares (VXUS),VXUS,ETF ,Foreign Large Blend,3.0,4.0,3.0,3.0,37.19,9.64,11.15,5.66,NA,NA,18.22,15.16,-4.17,-4.28,4.72,27.52,-14.42,21.58,11.32,9.2,NA,NA,NA,NA,NA,NA,NA,NA,0.18,0.67,99.05,NA,NA,0.1
MFS Institutional International Equity Fund (MIEIX),MIEIX,MF,Foreign Large Blend,5.0,5.0,5.0,5.0,25.97,11.0,8.77,7.94,10.97,-9.55,22.55,18.56,-4.21,0.02,0.3,28.02,-10.66,28.4,11.1,9.76,0.7,0.7,16.95,14.09,14.6,0.66,0.85,0.53,0.93,2.22,96.85,NA,NA,NA
