PIMCO RAE International Fund Institutional Class (PPYIX),PPYIX,MF,Foreign Large Value,3.0,4.0,N/A,4.0,37.9,4.85,5.54,NA,NA,NA,NA,NA,NA,NA,8.23,24.89,-15.52,16.59,2.29,12.46,0.51,0.52,20.87,16.94,NA,0.33,0.54,NA,1.47,1.18,97.35,NA,NA,NA
Columbia Overseas Value Fund Institutional 3 Class (COSYX),COSYX,MF,Foreign Large Value,3.0,4.0,4.0,4.0,30.02,4.36,6.13,NA,NA,NA,NA,NA,NA,NA,1.35,30.24,-16.38,22.61,-0.06,9.8,0.77,0.88,22.42,18.09,16.55,0.28,0.56,0.4,0.99,5.4,93.61,NA,NA,NA
Dodge & Cox International Stock Fund (DODFX),DODFX,MF,Foreign Large Value,3.0,3.0,3.0,3.0,33.97,5.16,4.78,5.6,13.69,-15.97,21.03,26.31,0.08,-11.35,8.26,23.94,-17.98,22.78,2.1,9.79,0.63,0.63,23.23,19.09,18.07,0.37,0.55,0.36,1.52,6.44,92.05,NA,NA,NA
Hartford Schroders International Multi-Cap Value Fund Class F (HFYFX),HFYFX,MF,Foreign Large Value,3.0,3.0,4.0,3.0,30.68,5.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15.22,18.54,1.25,12.97,0.76,0.76,19.54,15.92,15.24,0.37,0.53,0.38,3.45,0.52,95.94,NA,NA,0.09
Lord Abbett International Value Fund Class F3 (LIDOX),LIDOX,MF,Foreign Large Value,3.0,2.0,2.0,3.0,31.85,5.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15.64,17.9,4.14,9.56,0.79,0.85,20.65,16.77,16.13,0.35,0.44,0.24,NA,1.38,98.62,NA,NA,NA
Templeton Foreign Fund Class R6 (FTFGX),FTFGX,MF,Foreign Large Value,2.0,2.0,2.0,2.0,29.45,1.87,3.75,NA,NA,NA,NA,NA,-10.37,-6.69,12.09,17.83,-14.84,13.04,-0.11,8.14,0.68,0.79,19.77,16.15,16.83,0.21,0.43,0.27,7.59,5.39,87.02,NA,NA,NA
Goldman Sachs International Equity Income Fund Class R6 (GSUKX),GSUKX,MF,Foreign Large Value,5.0,5.0,5.0,5.0,24.24,8.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.49,-12.04,26.85,2.61,10.36,0.84,1.53,17.88,14.99,15.02,0.5,0.63,0.41,4.12,3.17,92.71,NA,NA,NA
Federated Hermes International Strategic Value Dividend Fund Class R6 Shares (IVFLX),IVFLX,MF,Foreign Large Value,5.0,2.0,3.0,5.0,18.5,5.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.26,20.54,-1.73,10.35,0.85,0.95,15.19,13.08,12.94,0.43,0.29,0.27,2.29,5.79,91.92,NA,NA,NA
PGIM QMA International Equity Fund- Class R6 (PJRQX),PJRQX,MF,Foreign Large Value,4.0,5.0,4.0,4.0,26.41,6.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.97,-16.92,20.45,7.33,10.25,0.78,1.05,18.08,14.95,15.31,0.44,0.64,0.38,1.07,0.76,94.81,0.08,NA,3.29
First Trust Dow Jones Global Select Dividend Index Fund (FGD),FGD,ETF ,Foreign Large Value,3.0,2.0,4.0,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.63,NA,NA,23.64,18.91,16.41,0.38,0.47,0.38,0.51,15.37,84.12,NA,NA,NA
Schwab Fundamental International Large Company Index ETF (FNDF),FNDF,ETF ,Foreign Large Value,4.0,5.0,N/A,5.0,43.44,7.46,10.11,NA,NA,NA,NA,NA,-5.04,-5.15,7.7,23.81,-14.19,18.41,4.02,12.77,NA,NA,20.48,16.62,NA,0.38,0.6,NA,0.14,0.74,99.12,NA,NA,NA
Invesco FTSE RAFI Developed Markets ex-U.S. ETF (PXF),PXF,ETF ,Foreign Large Value,3.0,4.0,3.0,3.0,42.16,6.95,10.14,4.69,6.26,-15.33,15.59,23.45,-6.2,-4.83,6.51,24.77,-15.12,17.81,3.08,12.91,NA,NA,20.91,17.03,17.04,0.36,0.59,0.32,-0.15,0.73,99.34,NA,NA,0.07
Invesco International Dividend Achievers ETF (PID),PID,ETF ,Foreign Large Value,4.0,3.0,3.0,3.0,49.73,8.49,8.75,4.54,13.64,-2.48,12.26,18.71,-1.15,-19.1,9.92,19.03,-11.08,25.44,-6.55,18.03,NA,NA,21.81,17.52,16.3,0.43,0.5,0.32,NA,NA,NA,NA,NA,NA
Columbia International Dividend Income Fund Institutional 3 Class (CLSYX),CLSYX,MF,Foreign Large Value,5.0,5.0,5.0,5.0,26.74,8.63,7.26,6.75,17.5,-8.78,17.33,20.58,0.61,-6.36,6.06,20.38,-12.74,24.66,6.05,9.94,0.81,0.86,17.49,14.22,13.78,0.56,0.62,0.49,2.56,4.4,93.04,NA,NA,NA
Hartford International Value Fund Class F (HILDX),HILDX,MF,Foreign Large Value,2.0,3.0,5.0,2.0,41.95,3.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.57,18.28,-5.89,16.53,0.86,0.86,23.17,18.85,17.13,0.25,0.52,0.43,5.8,1.47,92.73,NA,NA,NA
Oakmark International Fund Class Institutional (OANIX),OANIX,MF,Foreign Large Value,1.0,2.0,4.0,1.0,47.49,5.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.0,-23.32,24.43,5.16,11.67,0.78,0.8,29.67,24.03,20.94,0.35,0.56,0.41,3.33,1.29,95.07,NA,NA,0.3
Delaware Ivy Pzena International Value Fund Class R6 (ICNGX),ICNGX,MF,Foreign Large Value,3.0,4.0,4.0,4.0,44.15,7.06,6.42,NA,NA,NA,NA,NA,NA,-10.99,12.77,16.94,-15.74,17.71,6.69,14.89,0.93,1.14,23.75,19.53,18.27,0.39,0.57,0.36,4.57,NA,95.41,0.02,NA,NA
