Fidelity Advisor International Small Cap Fund Class Z (FIQIX),FIQIX,MF,Foreign Small-Mid Blend,4.0,4.0,5.0,5.0,40.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.59,10.11,12.93,0.95,0.95,19.71,16.06,15.31,0.47,0.72,0.6,3.99,2.71,93.3,NA,NA,NA
DFA International Small Company Portfolio Institutional Class (DFISX),DFISX,MF,Foreign Small-Mid Blend,3.0,3.0,4.0,4.0,40.75,8.08,9.13,7.85,23.91,-15.35,18.86,27.44,-6.3,5.91,5.8,30.24,-19.42,24.2,9.26,14.24,0.44,0.44,21.74,17.6,16.32,0.4,0.63,0.49,0.98,0.62,98.34,NA,NA,0.05
Victory Trivalent International Small-Cap Fund Class I (MISIX),MISIX,MF,Foreign Small-Mid Blend,4.0,5.0,5.0,5.0,33.01,10.09,9.85,10.3,25.49,-11.55,24.32,32.98,-0.2,8.2,-0.7,37.13,-20.21,27.88,15.42,13.37,0.96,1.19,21.35,17.49,16.49,0.49,0.73,0.63,NA,1.11,98.89,NA,NA,NA
Lord Abbett International Opportunities Fund Class F3 (LOIEX),LOIEX,MF,Foreign Small-Mid Blend,3.0,3.0,3.0,3.0,37.7,8.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23.45,21.59,14.7,11.96,0.91,0.91,20.79,17.27,16.57,0.4,0.61,0.49,NA,0.11,99.82,0.07,NA,NA
Invesco International Small Company Fund Class R6 (IEGFX),IEGFX,MF,Foreign Small-Mid Blend,3.0,3.0,2.0,3.0,39.81,7.98,9.06,NA,NA,NA,NA,9.96,-4.68,-8.87,9.22,34.04,-18.31,18.95,10.66,15.25,1.16,1.17,21.07,17.2,15.77,0.47,0.7,0.44,12.81,1.54,84.07,NA,0.02,1.57
John Hancock Funds II International Small Company Fund Class R6 (JHSMX),JHSMX,MF,Foreign Small-Mid Blend,2.0,3.0,3.0,2.0,39.9,7.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.28,23.48,8.92,13.86,0.96,0.97,21.72,17.62,16.36,0.38,0.6,0.46,0.02,0.63,99.3,NA,NA,0.05
Goldman Sachs International Small Cap Insights Fund Class R6 (GICUX),GICUX,MF,Foreign Small-Mid Blend,3.0,3.0,4.0,3.0,37.39,7.39,NA,NA,NA,NA,NA,NA,NA,NA,2.35,33.2,-18.79,21.66,7.66,16.34,0.86,0.92,20.3,16.68,15.75,0.37,0.65,0.55,0.75,0.04,99.15,NA,NA,0.05
Schwab International Small-Cap Equity ETF (SCHC),SCHC,ETF ,Foreign Small-Mid Blend,3.0,2.0,2.0,2.0,43.77,7.66,10.39,6.02,NA,-16.26,17.49,21.91,-5.82,1.85,3.17,29.33,-18.65,22.96,10.69,12.65,NA,NA,21.83,17.7,16.73,0.39,0.59,0.4,0.2,0.74,98.74,0.02,NA,0.3
SPDR S&P International Small Cap ETF (GWX),GWX,ETF ,Foreign Small-Mid Blend,2.0,1.0,2.0,2.0,43.91,7.29,9.88,6.45,24.46,-15.59,15.77,21.82,-6.06,5.67,7.24,28.33,-19.11,18.59,13.22,10.21,NA,NA,20.49,16.73,15.84,0.38,0.58,0.44,0.49,1.23,97.83,NA,NA,0.45
iShares MSCI EAFE Small-Cap ETF (SCZ),SCZ,ETF ,Foreign Small-Mid Blend,3.0,4.0,4.0,4.0,40.64,8.46,11.81,8.28,22.34,-14.91,19.85,29.22,-5.02,9.16,2.42,32.51,-17.8,24.73,12.07,11.78,NA,NA,20.36,16.72,15.83,0.43,0.69,0.55,0.63,1.37,97.57,NA,NA,0.42
Vanguard FTSE All-World ex-US Small-Cap Index Fund ETF Shares (VSS),VSS,ETF ,Foreign Small-Mid Blend,3.0,3.0,2.0,3.0,44.62,8.5,10.87,5.84,25.26,-18.93,19.12,17.72,-4.67,-0.2,4.37,30.26,-18.43,21.73,11.95,13.57,NA,NA,21.42,17.35,16.59,0.43,0.62,0.4,0.23,0.72,98.77,NA,NA,0.28
Franklin International Small Cap Fund Class R6 (FCAPX),FCAPX,MF,Foreign Small-Mid Blend,1.0,1.0,1.0,1.0,42.71,-2.44,2.34,NA,NA,NA,NA,NA,-10.63,6.83,-2.98,34.62,-20.55,12.83,-10.53,13.26,0.95,0.97,24.85,20.16,17.64,0.01,0.3,0.36,6.35,NA,93.65,NA,NA,NA
